Day,Play_Number,Time_Post_Snap_s,Receiver,Openness_yds,Defender_ID,Y_yds,X_yds
DAY 3 (03-22-2026),2,0.0,R1,,,-2.39,18.59
DAY 3 (03-22-2026),2,0.0,R2,,,10.22,46.77
DAY 3 (03-22-2026),2,0.0,R3,,,13.23,51.59
DAY 3 (03-22-2026),2,0.02,R1,,,-2.24,18.56
DAY 3 (03-22-2026),2,0.02,R2,,,10.36,46.92
DAY 3 (03-22-2026),2,0.03,R1,,,-2.0,18.65
DAY 3 (03-22-2026),2,0.03,R2,,,10.56,47.13
DAY 3 (03-22-2026),2,0.03,R3,,,13.54,51.66
DAY 3 (03-22-2026),2,0.05,R1,,,-1.91,18.68
DAY 3 (03-22-2026),2,0.05,R2,,,10.63,47.2
DAY 3 (03-22-2026),2,0.05,R3,,,13.6,51.69
DAY 3 (03-22-2026),2,0.07,R1,,,-1.64,18.74
DAY 3 (03-22-2026),2,0.07,R3,,,13.76,51.82
DAY 3 (03-22-2026),2,0.09,R1,,,-1.56,18.77
DAY 3 (03-22-2026),2,0.09,R3,,,13.81,51.87
DAY 3 (03-22-2026),2,0.09,R4,,,18.1,55.8
DAY 3 (03-22-2026),2,0.1,R1,,,-0.89,18.91
DAY 3 (03-22-2026),2,0.12,R1,,,-0.63,18.97
DAY 3 (03-22-2026),2,0.14,R1,,,-0.48,18.85
DAY 3 (03-22-2026),2,0.14,R2,,,11.06,47.61
DAY 3 (03-22-2026),2,0.14,R4,,,18.32,55.87
DAY 3 (03-22-2026),2,0.16,R1,,,-0.42,18.82
DAY 3 (03-22-2026),2,0.16,R2,,,11.07,47.66
DAY 3 (03-22-2026),2,0.16,R4,,,18.34,55.9
DAY 3 (03-22-2026),2,0.17,R3,,,14.61,51.69
DAY 3 (03-22-2026),2,0.17,R4,,,18.39,55.92
DAY 3 (03-22-2026),2,0.19,R3,,,14.67,51.69
DAY 3 (03-22-2026),2,0.19,R4,,,18.4,55.95
DAY 3 (03-22-2026),2,0.21,R1,,,-0.17,18.62
DAY 3 (03-22-2026),2,0.21,R3,,,14.84,51.61
DAY 3 (03-22-2026),2,0.23,R1,,,-0.14,18.56
DAY 3 (03-22-2026),2,0.23,R3,,,14.9,51.56
DAY 3 (03-22-2026),2,0.24,R1,,,-0.02,18.42
DAY 3 (03-22-2026),2,0.24,R2,,,11.58,48.01
DAY 3 (03-22-2026),2,0.24,R3,,,15.07,51.76
DAY 3 (03-22-2026),2,0.24,R4,,,18.48,56.05
DAY 3 (03-22-2026),2,0.26,R1,,,0.01,18.36
DAY 3 (03-22-2026),2,0.26,R2,,,11.62,48.06
DAY 3 (03-22-2026),2,0.26,R3,,,15.13,51.84
DAY 3 (03-22-2026),2,0.26,R4,,,18.48,56.05
DAY 3 (03-22-2026),2,0.28,R1,,,0.11,17.96
DAY 3 (03-22-2026),2,0.28,R2,,,11.78,47.93
DAY 3 (03-22-2026),2,0.28,R3,,,15.23,51.84
DAY 3 (03-22-2026),2,0.3,R1,,,0.14,17.81
DAY 3 (03-22-2026),2,0.3,R2,,,11.83,47.86
DAY 3 (03-22-2026),2,0.3,R3,,,15.27,51.84
DAY 3 (03-22-2026),2,0.31,R1,,,0.27,17.55
DAY 3 (03-22-2026),2,0.31,R2,,,11.86,47.83
DAY 3 (03-22-2026),2,0.31,R3,,,15.42,51.84
DAY 3 (03-22-2026),2,0.33,R1,,,0.31,17.44
DAY 3 (03-22-2026),2,0.33,R2,,,11.87,47.83
DAY 3 (03-22-2026),2,0.33,R3,,,15.47,51.84
DAY 3 (03-22-2026),2,0.35,R1,,,0.54,17.38
